TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1800000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1800000__V202.nc,(73.0970687866211. -32.47119140625),(73.979248046875. -31.759479522705078),(73.7475814819336. -28.61046028137207),(72.87796020507812. -29.475889205932617),3053
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2500000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2500000__V202.nc,(66.9323959350586. -35.90972137451172),(67.80970764160156. -35.53767776489258),(67.6457290649414. -33.231712341308594),(66.77522277832031. -33.690067291259766),3054
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2600000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2600000__V202.nc,(66.05683898925781. -36.25383758544922),(66.9323959350586. -35.90972137451172),(66.77522277832031. -33.690067291259766),(65.90599060058594. -34.114471435546875),3055
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2700000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2700000__V202.nc,(65.1832275390625. -36.57303237915039),(66.05683898925781. -36.25383758544922),(65.90599060058594. -34.114471435546875),(65.03827667236328. -34.508522033691406),3056
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1600000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-1600000__V202.nc,(74.86052703857422. -30.963756561279297),(75.74028778076172. -30.06858253479004),(75.4791488647461. -26.565052032470703),(74.61492919921875. -27.64597511291504),3057
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2500000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-2500000__V202.nc,(67.19701385498047. -42.709388732910156),(68.08601379394531. -42.61405563354492),(68.03044891357422. -40.236358642578125),(67.14381408691406. -40.42607879638672),3058
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-1200000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-1200000__V202.nc,(78.91735076904297. -40.236358642578125),(79.82942962646484. -39.805572509765625),(79.70577239990234. -34.695152282714844),(78.80398559570312. -35.53767776489258),3059
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2000000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2000000__V202.nc,(71.33204650878906. -33.690067291259766),(72.21452331542969. -33.11134338378906),(72.00678253173828. -30.256437301635742),(71.1346435546875. -30.963756561279297),3060
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2100000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+400000___-2100000__V202.nc,(70.45001983642578. -34.215702056884766),(71.33204650878906. -33.690067291259766),(71.1346435546875. -30.963756561279297),(70.26205444335938. -31.607501983642578),3061
CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3000000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_+100000___-3000000__V202.nc,(62.79313659667969. -43.09084701538086),(63.66811752319336. -43.02506637573242),(63.622825622558594. -41.054813385009766),(62.74950408935547. -41.1859245300293),3062
